SUBNO	HOME	NUMSIB	CRIMPAR	CRIMSIB	MENTILL	PSYCHIAT	BCARE	SIBCARE	PRECAP1	PRECAP2	CT1AGE	CTLAG	NUMAPP	HISTABSC	IQ	HT	WT	READAGE	SES	ADMITCON	ENTAGE	HOUSE	TOTLV	DAYSLV	TOTABSC	SCHOFF	REL1LAG	RELLAST	RELCON	NUMREL	AFCARE	SCHTIME	SCHCUST	RECALL	RECON2	CTAPP2	OFFLAG2	CUST2	SER1ST	SERALL
156	2	2	2	2	2	1	2	2	1	1	14	888	0	1	82	65	123	53	4	1	175	1	6	36	1	0	14	14	3	1	8	14	2	2	1	98	98	8	98	98
157	1	4	2	1	2	2	2	2	2	2	9	46	0	2	87	58	92	74	3	1	158	1	12	74	12	0	17	17	1	1	1	17	2	2	2	1	6	1	3.6	3.6
158	2	4	1	2	2	1	1	2	2	2	8	0	0	1	111	69	140	114	3	1	185	1	0	0	2	0	7	7	3	1	8	7	2	2	1	98	98	8	98	98
159	1	3	1	1	2	1	2	1	3	3	8	2	0	2	108	63	109	130	3	1	170	2	9	46	0	0	13	13	1	1	2	13	2	2	2	2	14	1	3	4
160	1	1	2	2	2	2	2	2	1	1	13	888	0	1	104	65	121	121	3	1	168	2	11	53	9	0	13	13	1	1	2	13	2	2	2	2	11	1	3.2	6.6
161	3	4	1	2	2	3	1	1	2	1	12	6	0	2	90	66	127	146	4	1	174	3	7	104	1	0	10	10	1	1	2	10	2	2	2	1	8	1	2.8	2.8
162	1	2	2	2	2	1	2	2	3	3	11	2	0	1	92	59	81	101	2	1	163	1	4	25	12	0	10	10	3	1	8	10	2	2	2	98	98	8	98	98
163	1	4	2	2	1	3	1	1	2	2	13	12	0	1	92	65	110	127	2	1	180	3	7	71	5	0	12	12	1	1	1	12	2	2	2	2	1	2	2.8	5.4
164	2	5	2	2	2	1	2	2	1	1	14	888	0	1	94	57	86	119	7	1	180	2	6	64	7	0	11	11	1	1	2	11	2	2	2	1	22	1	2.6	2.6
165	1	2	2	2	1	1	2	2	1	1	14	888	0	2	88	58	88	99	7	1	172	2	6	55	1	0	11	21	1	2	2	12	2	1	2	1	20	1	3	3
166	1	3	2	2	2	2	2	2	3	2	11	4	0	2	109	67	126	141	3	1	168	2	0	0	1	0	2	2	3	1	8	2	2	2	2	98	98	8	98	98
167	2	0	2	8	1	2	2	8	3	2	13	4	0	2	92	66	110	128	5	1	171	2	15	70	0	0	16	16	1	1	9	16	2	2	2	1	4	2	4.6	4.6
168	3	5	2	2	2	3	2	2	2	2	11	6	0	2	75	61	99	113	6	1	171	2	18	60	0	0	13	13	1	1	1	13	2	2	1	97	97	7	97	97
169	1	4	1	1	1	3	2	2	3	3	13	3	0	1	104	63	108	138	3	1	173	3	11	79	2	1	14	14	1	1	2	14	2	2	2	1	20	1	1.4	1.4
170	1	4	2	2	2	3	2	2	5	5	10	8	0	2	96	60	98	115	5	1	162	3	15	91	0	0	18	18	1	1	1	18	2	2	2	2	13	1	3	4.8
171	1	5	1	1	2	2	2	2	4	4	10	3	0	1	92	61	94	140	5	1	165	3	9	52	7	4	11	11	2	1	8	11	1	2	2	98	98	8	98	98
172	1	6	1	1	2	2	1	1	7	6	7	7	1	1	105	60	87	143	6	1	182	3	4	26	4	1	7	7	1	1	1	7	2	2	2	2	11	2	4	6.6
173	1	3	2	2	2	1	2	2	3	3	11	7	0	1	94	63	108	114	3	1	171	3	16	74	3	0	18	25	1	2	1	23	2	1	2	5	10	2	3.2	13.6
174	1	4	2	2	2	1	1	1	4	4	10	5	1	1	90	59	90	92	5	1	169	1	9	64	6	3	18	18	2	1	8	18	1	2	2	98	98	8	98	98
175	4	4	1	2	2	1	1	1	1	0	12	888	0	1	91	64	115	71	7	9	161	2	18	71	3	0	22	22	1	1	2	22	2	2	1	97	97	7	97	97
176	1	0	2	8	2	4	1	8	5	1	12	1	0	1	88	65	119	119	3	2	181	1	1	10	1	0	4	4	1	1	1	4	2	2	1	97	97	7	97	97
177	2	1	2	1	2	3	1	2	4	4	13	1	0	2	88	67	136	114	4	1	177	3	8	39	1	0	8	8	1	1	2	8	2	2	1	97	97	7	97	97
178	1	3	2	2	2	1	2	2	2	2	12	8	0	2	108	60	112	130	3	1	163	3	19	94	1	0	17	17	1	1	2	17	2	2	2	2	16	1	99	99
179	1	0	2	8	2	3	2	8	2	2	14	3	0	1	120	68	136	143	7	1	179	3	5	42	1	0	8	8	1	1	1	8	2	2	1	97	97	7	97	97
180	2	1	2	2	2	1	2	2	4	4	11	1	0	2	82	64	112	129	2	1	177	1	2	10	10	2	4	4	2	1	8	4	1	2	2	98	98	8	98	98
181	1	7	2	1	1	2	2	2	3	3	13	3	0	1	72	59	91	132	6	1	169	1	10	84	15	2	19	19	1	1	2	17	1	2	2	2	5	2	1.8	4.4
182	1	2	2	2	2	1	2	2	5	5	9	2	0	2	104	68	132	142	3	1	177	3	5	30	0	0	9	9	1	1	1	9	2	2	2	1	14	1	2.6	2.6
183	3	2	2	1	1	1	1	1	2	0	13	4	0	1	62	69	141	80	2	9	187	1	13	79	2	0	17	19	1	2	2	17	2	1	1	97	97	7	97	97
184	1	6	1	2	2	3	2	2	3	3	12	9	0	2	83	59	76	80	5	1	169	1	9	54	0	0	11	14	1	2	1	12	2	1	1	97	97	7	97	97
185	3	3	2	2	2	2	2	2	2	2	11	6	0	2	115	61	94	147	6	1	165	3	33	106	0	0	17	17	1	1	2	17	2	2	2	3	4	2	2.4	5.8
186	1	8	1	2	2	3	1	1	3	3	13	7	0	1	85	66	136	123	6	1	174	1	9	45	0	0	12	12	1	1	1	12	2	2	1	97	97	7	97	97
187	3	3	1	1	2	1	2	2	3	3	8	5	0	2	86	66	119	83	6	1	173	1	12	45	18	1	13	13	2	1	8	13	1	2	2	98	98	8	98	98
188	1	6	2	1	2	1	2	2	3	3	12	6	0	1	97	69	122	140	6	1	169	3	26	105	3	0	15	15	1	1	1	15	2	2	2	1	14	1	3	3
189	1	2	2	2	2	3	2	2	3	3	13	3	0	1	90	66	123	127	3	1	173	3	32	85	1	0	14	14	1	1	1	14	2	2	2	2	11	2	3.2	6.2
190	3	7	1	2	2	1	1	1	6	5	12	1	1	1	99	65	124	85	6	1	165	2	0	0	3	1	2	2	3	1	8	2	2	2	2	98	98	8	98	98
191	2	4	2	2	2	3	1	2	3	3	12	6	1	1	101	65	124	142	4	1	176	2	1	9	5	2	11	11	1	1	9	9	1	2	2	3	2	2	99	99
192	2	2	2	2	2	3	2	2	6	5	11	2	1	2	112	68	128	140	4	1	186	1	3	25	5	0	7	7	3	1	8	7	2	2	2	98	98	8	98	98
193	3	3	1	2	2	2	2	2	3	3	11	6	1	2	103	66	134	126	6	1	175	2	4	24	0	0	6	6	1	1	2	6	2	2	2	3	1	2	1.4	99
194	3	11	1	1	1	2	1	1	3	2	8	13	0	1	88	68	113	116	6	1	167	1	5	33	9	0	7	7	3	1	8	7	2	2	1	98	98	8	98	98
195	3	3	2	1	2	1	1	1	7	6	9	1	0	2	88	68	136	123	3	1	171	1	11	110	1	0	14	14	1	1	1	14	2	2	2	3	8	2	3.4	10.8
196	3	4	1	2	1	1	2	1	4	4	12	7	0	2	94	64	126	79	4	1	172	3	21	75	0	0	14	14	1	1	1	14	2	2	1	97	97	7	97	97
197	1	6	2	2	2	3	2	2	2	2	13	8	0	2	86	61	95	140	6	1	174	1	11	47	0	0	11	11	1	1	1	11	2	2	1	97	97	7	97	97
198	1	9	1	2	2	4	2	2	6	6	8	4	0	2	77	57	75	79	4	1	185	1	12	48	0	0	10	10	1	1	2	10	2	2	2	3	11	2	3	7.8
199	3	6	2	2	2	3	2	2	3	3	13	2	0	1	102	61	110	141	3	1	176	2	14	56	1	0	10	27	1	2	1	14	2	1	2	2	18	2	2.2	4
200	2	5	1	1	1	1	2	2	1	1	13	888	0	2	112	60	98	133	3	1	158	3	14	61	0	0	10	10	1	1	1	10	2	2	2	1	14	2	2.8	2.8
201	3	4	2	2	2	3	2	2	3	3	13	3	0	2	91	67	146	120	4	1	176	2	7	36	1	0	9	9	1	1	2	9	2	2	1	97	97	7	97	97
202	2	3	2	1	2	1	1	2	3	3	13	3	0	1	114	59	91	131	4	2	180	2	11	64	0	0	14	14	1	1	2	14	2	2	2	1	21	1	3	3
203	1	1	2	2	2	4	2	2	3	3	11	0	0	1	91	67	145	128	3	1	177	3	4	39	0	0	5	5	1	1	1	5	2	2	2	1	10	1	2.6	2.6
204	3	0	2	8	2	2	2	8	3	3	13	3	0	2	125	66	125	131	3	1	167	2	9	25	0	0	16	16	1	1	1	16	2	2	2	1	11	1	3.2	3.2
205	3	4	1	2	2	2	2	1	3	4	12	3	0	1	101	60	79	123	6	1	172	3	24	69	2	0	13	13	1	1	2	13	2	2	2	3	15	2	1.4	4
206	1	7	2	1	2	1	2	2	5	5	9	4	0	2	83	58	90	123	4	1	170	1	8	46	1	0	10	19	1	2	1	16	2	1	2	3	4	2	2.6	9
207	3	5	2	2	2	2	1	1	4	4	10	5	0	2	107	64	108	85	6	1	168	2	11	60	0	0	12	12	1	1	2	12	2	2	1	97	97	7	97	97
208	2	3	1	2	1	3	1	1	3	1	14	1	0	2	93	63	93	100	4	1	179	2	10	53	1	0	10	10	1	1	1	10	2	2	1	97	97	7	97	97
209	1	3	1	1	2	2	2	2	3	3	11	3	0	2	113	64	112	116	4	1	164	3	18	85	2	0	11	11	1	1	1	11	2	2	2	4	4	1	2.4	7.4
210	1	4	2	1	1	2	1	2	5	5	10	3	3	2	100	56	84	90	4	1	164	1	3	17	6	1	6	6	1	1	1	6	2	2	2	1	15	1	2	2
211	3	4	2	2	2	3	2	2	2	0	14	4	0	2	83	61	110	130	6	9	174	1	12	57	3	0	10	10	1	1	1	10	2	2	1	97	97	7	97	97
212	1	3	1	1	2	3	2	1	4	4	10	4	0	2	88	62	109	102	5	1	159	1	14	59	15	3	19	19	2	1	8	19	1	2	2	98	98	8	98	98
213	3	0	2	8	1	2	2	8	4	4	10	1	0	1	112	65	118	157	5	1	178	2	7	32	2	1	10	10	2	1	8	10	1	2	2	98	98	8	98	98
214	3	1	2	2	2	2	2	2	2	1	14	1	0	1	90	66	131	139	6	1	176	3	10	50	3	1	9	9	1	1	1	9	2	2	2	3	17	2	2.2	6.2
215	3	0	2	8	2	1	1	8	2	0	13	6	0	1	113	63	126	130	4	9	163	3	94	235	0	1	27	27	1	1	2	27	2	2	2	1	23	1	1.8	1.8
216	1	5	2	2	1	1	1	1	3	4	12	4	1	1	106	60	84	134	3	1	162	3	23	137	4	1	21	21	1	1	2	21	2	2	2	1	17	1	2.8	2.8
217	3	1	1	2	2	2	1	1	1	1	14	888	0	2	97	61	108	128	4	1	178	1	27	85	11	2	22	22	1	1	1	22	2	2	2	4	1	2	3	12.6
218	1	3	1	1	2	1	2	2	4	4	10	11	0	2	106	63	113	144	5	1	170	3	35	127	3	2	20	20	1	1	1	20	2	2	1	97	97	7	97	97
219	3	2	1	2	2	1	2	2	2	2	13	3	0	2	101	64	102	130	4	1	163	1	8	34	1	0	10	10	3	1	8	10	2	2	2	98	98	8	98	98
220	1	7	2	2	2	3	2	2	3	3	12	4	0	1	75	59	92	95	6	1	173	1	4	18	9	0	6	6	3	1	8	6	2	2	1	98	98	8	98	98
221	2	6	1	2	2	3	2	2	4	0	10	3	0	1	97	65	121	126	3	9	170	2	11	56	0	0	13	13	1	1	2	13	2	2	2	3	14	1	2.4	4
222	1	7	1	1	2	3	1	1	4	4	11	2	0	1	101	62	92	96	3	1	169	3	4	18	0	2	8	8	3	1	8	8	2	2	2	98	98	8	98	98
223	3	5	2	2	2	1	1	1	1	0	14	888	0	1	113	64	134	130	6	9	170	1	19	86	0	0	17	17	1	1	2	17	2	2	2	3	13	1	3.2	9.8
224	4	4	1	2	1	3	1	1	2	2	13	3	0	2	103	59	79	134	7	1	163	3	29	123	8	0	23	23	1	1	2	23	2	2	2	4	6	2	3	12.4
225	1	7	1	1	1	3	2	2	2	3	12	10	0	1	111	61	90	133	6	1	165	2	29	111	2	0	22	22	1	1	1	22	2	2	1	97	97	7	97	97
226	3	2	2	2	2	4	2	2	3	3	11	2	0	2	90	63	100	130	7	1	171	3	22	103	6	0	24	36	1	2	1	31	2	1	1	97	97	7	97	97
227	1	4	2	2	2	1	1	1	2	2	14	8	1	1	81	63	112	90	5	1	178	1	20	76	0	0	17	17	1	1	2	17	2	2	2	1	20	2	3.2	3.2
228	3	7	2	2	1	1	1	2	4	0	11	6	2	2	120	59	98	128	6	9	169	2	2	13	0	0	4	4	3	1	8	4	2	2	2	98	98	8	98	98
229	2	5	1	2	1	3	2	1	3	2	14	2	0	1	99	60	98	129	3	1	176	3	11	56	1	0	11	11	1	1	1	11	2	2	2	2	17	1	1.6	3.2
230	1	3	2	1	2	1	2	2	3	2	11	13	0	2	95	60	90	110	5	1	177	2	11	69	0	0	15	15	1	1	1	15	2	2	1	97	97	7	97	97
231	1	6	1	2	1	3	2	2	2	1	14	6	0	2	83	60	98	141	6	1	179	1	29	68	0	0	13	13	1	1	1	13	2	2	1	97	97	7	97	97
232	2	5	2	2	2	2	2	2	5	5	12	4	1	1	106	67	128	124	6	1	177	2	13	61	0	0	11	11	1	1	2	11	2	2	2	3	5	2	3.2	10.4
233	1	5	1	1	2	1	2	1	3	4	9	24	1	1	70	59	85	119	3	1	182	1	1	10	4	1	4	4	4	1	8	4	2	2	2	98	98	8	98	98
234	2	5	1	2	2	1	1	1	3	2	9	2	1	1	117	62	108	144	3	9	175	1	10	42	2	2	17	22	1	2	2	19	2	1	2	2	6	2	4	6.4
235	2	10	1	1	2	2	2	1	4	2	10	1	1	2	94	60	90	134	6	1	169	2	13	81	0	0	17	17	1	1	2	17	2	2	2	1	5	1	1.4	1.4
236	1	8	1	1	1	3	2	2	5	5	10	1	1	1	85	61	87	123	3	1	172	1	11	42	12	1	10	10	2	1	8	10	1	2	2	98	98	8	98	98
237	2	2	1	1	2	3	2	2	3	3	12	4	0	1	81	67	108	107	3	1	179	1	5	24	3	0	10	10	1	1	2	10	2	2	2	1	9	1	2.2	2.2
238	1	6	1	1	2	3	2	2	6	2	10	3	0	2	97	58	82	122	3	1	170	2	16	80	4	0	19	19	1	1	1	19	2	2	1	97	97	7	97	97
239	4	6	1	1	1	2	1	1	3	2	3	8	0	1	88	62	112	82	7	1	164	1	1	7	4	1	2	2	3	1	8	2	2	2	2	98	98	8	98	98
240	1	6	1	1	2	3	2	2	2	3	11	27	0	1	86	62	96	81	4	1	168	1	21	61	3	1	14	14	4	1	8	14	2	2	2	98	98	8	98	98
241	2	3	2	2	1	1	2	2	2	2	13	1	0	1	100	65	121	136	5	1	164	2	11	62	11	2	16	16	2	1	8	16	1	2	2	98	98	8	98	98
242	3	4	2	2	1	1	2	2	3	2	12	4	0	1	104	62	104	93	6	1	165	3	25	98	24	1	19	19	2	1	8	19	1	2	2	98	98	8	98	98
243	3	5	2	2	2	2	1	2	2	1	11	33	0	1	110	62	113	127	7	1	174	1	10	59	0	0	12	12	1	1	2	12	2	2	1	97	97	7	97	97
244	1	1	2	2	1	1	1	2	4	4	10	4	1	2	101	57	88	131	5	1	173	1	2	4	7	1	3	3	2	1	8	3	1	2	2	98	98	8	98	98
245	1	7	2	1	1	3	2	2	2	2	12	7	0	2	85	63	99	76	6	1	159	1	19	65	6	2	18	18	3	1	8	18	2	2	1	98	98	8	98	98
246	1	3	2	2	2	3	2	2	3	3	12	5	0	1	92	58	110	124	3	1	163	3	15	95	0	0	21	21	1	1	1	21	2	2	1	97	97	7	97	97
247	3	0	2	8	2	2	2	8	3	3	12	10	1	1	97	65	122	142	4	1	178	1	0	0	2	1	2	2	2	1	8	2	1	2	2	98	98	8	98	98
248	3	4	1	2	1	3	1	1	2	1	6	97	0	2	95	58	100	70	6	1	166	2	34	130	1	0	20	22	1	2	2	22	2	1	1	97	97	7	97	97
249	2	4	1	1	2	3	2	1	3	3	10	7	0	2	88	58	82	107	6	1	157	2	21	97	1	0	25	25	1	1	2	25	2	2	1	97	97	7	97	97
250	2	2	1	2	2	3	2	2	2	2	14	9	0	2	82	65	129	117	5	1	180	1	5	25	0	2	7	7	2	1	8	7	1	2	1	98	98	8	98	98
251	1	4	1	2	2	3	2	2	3	3	12	3	0	1	90	62	101	139	4	1	172	1	11	56	2	0	12	12	1	1	1	12	2	2	2	5	4	2	2.8	13.2
252	2	4	2	1	2	3	2	1	3	3	12	8	1	1	92	62	94	139	6	1	181	2	12	52	1	0	14	14	1	1	1	14	2	2	2	1	12	1	2.8	2.8
253	1	5	2	2	2	2	2	2	2	2	14	4	0	1	85	61	90	128	3	1	176	1	5	19	0	1	5	5	2	1	8	5	1	2	1	98	98	8	98	98
254	1	10	2	1	2	2	2	2	2	3	14	1	0	2	109	64	106	140	7	1	172	3	8	47	2	0	13	13	1	1	2	13	2	2	1	97	97	7	97	97
255	1	1	2	1	2	3	2	2	3	3	11	23	0	2	107	61	84	81	5	1	164	1	19	111	5	0	26	26	1	1	2	26	2	2	2	1	22	1	99	99
256	1	4	2	1	1	1	2	2	3	2	11	1	0	2	103	59	89	124	3	1	161	3	23	113	1	0	24	24	1	1	2	24	2	2	1	97	97	7	97	97
257	2	4	2	1	2	2	2	1	2	1	14	7	0	1	94	64	105	142	7	1	177	2	11	57	4	0	14	14	1	1	1	14	2	2	1	97	97	7	97	97
258	3	0	2	8	2	3	2	8	2	2	10	28	0	2	123	59	91	143	7	1	157	3	11	89	8	0	11	25	1	2	1	21	2	1	1	97	97	7	97	97
259	1	3	2	1	1	1	2	2	4	5	12	5	0	1	93	63	104	121	4	1	179	1	17	61	0	0	11	11	1	1	2	11	2	2	2	5	7	2	2	13.6
260	1	1	1	2	1	3	1	1	3	0	6	17	0	1	83	63	119	94	6	9	167	1	2	13	4	0	17	17	1	1	2	17	2	2	2	1	23	1	3.6	3.6
261	2	4	2	2	2	2	2	2	4	4	11	4	0	2	82	61	89	96	3	1	159	1	10	38	1	0	9	9	1	1	1	9	2	2	1	97	97	7	97	97
262	2	5	1	1	1	3	1	1	2	3	12	8	0	2	103	59	90	122	4	1	161	3	16	82	5	1	19	19	1	1	1	19	2	2	2	3	11	1	3.4	7.2
263	2	2	1	2	2	2	2	2	4	4	10	5	0	2	85	56	87	97	6	1	166	1	35	123	3	0	27	27	1	1	2	27	2	2	1	97	97	7	97	97
264	2	3	1	2	2	3	2	2	2	2	13	13	1	1	95	63	117	123	3	1	172	2	8	36	5	0	9	9	3	1	8	9	2	2	2	98	98	8	98	98
265	1	0	1	8	2	2	2	8	5	5	11	2	2	1	112	61	97	139	2	2	199	1	1	3	0	0	2	3	1	2	9	2	2	1	2	1	11	2	99	99
266	3	5	1	1	1	1	1	1	4	4	7	6	0	2	81	58	89	132	4	1	174	1	13	47	2	2	15	15	1	1	2	15	2	2	2	3	13	1	2.8	7.4
267	3	4	2	1	2	3	2	2	2	2	12	18	0	2	87	58	88	120	5	1	175	2	19	86	2	0	14	22	1	2	1	17	2	1	2	2	5	2	3	5.8
268	3	4	2	1	2	3	2	1	1	1	13	888	0	2	112	65	132	120	6	1	167	2	19	156	1	2	29	29	1	1	2	29	2	2	2	1	6	2	4	4
269	1	4	2	1	1	3	2	2	5	5	10	6	0	2	117	61	111	115	3	1	180	2	9	46	1	0	12	12	1	1	1	12	2	2	1	97	97	7	97	97
270	2	2	1	2	1	2	1	2	3	3	13	9	0	1	106	63	110	137	4	2	180	2	8	82	1	0	17	17	1	1	2	17	2	2	2	2	12	2	3.2	7
271	1	2	2	1	1	3	2	2	2	2	12	13	0	2	96	62	87	122	3	1	168	3	44	168	4	1	24	24	1	1	1	24	2	2	2	1	15	1	99	99
272	1	5	2	2	2	1	2	2	7	6	11	3	0	2	102	62	102	129	4	1	174	3	8	47	5	1	12	12	3	1	8	12	2	2	2	98	98	8	98	98
273	1	2	2	1	2	1	2	2	5	5	12	3	0	2	122	67	147	111	3	1	162	2	22	109	5	0	24	24	1	1	1	24	2	2	2	3	13	2	2.6	99
274	2	2	1	2	2	2	1	2	4	4	10	6	0	1	125	64	103	122	3	1	167	3	9	58	3	2	16	16	2	1	8	16	1	2	2	98	98	8	98	98
275	1	2	2	2	2	2	2	2	3	3	11	3	0	1	96	62	150	72	4	1	160	2	22	109	1	0	22	22	1	1	2	22	2	2	2	3	10	1	2.4	99
276	1	3	2	2	2	1	2	2	2	2	13	11	0	1	117	60	87	140	2	1	170	2	6	23	13	2	15	15	1	1	2	13	1	2	2	3	11	2	3.2	10.2
277	2	0	2	8	2	2	2	8	4	4	12	3	0	2	101	59	83	146	3	1	184	3	12	57	4	0	15	20	1	2	1	16	2	1	2	1	15	1	2	2
278	1	5	2	1	1	1	2	2	2	2	13	13	0	2	101	64	116	113	7	1	179	2	13	72	4	2	17	17	1	1	2	17	2	2	2	1	9	2	3.2	3.2
279	1	6	1	2	1	3	2	2	4	4	11	4	0	2	93	62	97	106	3	1	184	3	6	52	4	1	8	8	2	1	8	8	1	2	2	98	98	8	98	98
280	4	7	1	2	2	1	1	1	1	1	11	888	1	2	84	61	89	111	7	2	168	2	7	89	4	0	26	26	1	1	2	26	2	2	2	4	12	2	99	99
