SUBNO	HOME	NUMSIB	CRIMPAR	CRIMSIB	MENTILL	PSYCHIAT	BCARE	SIBCARE	PRECAP1	PRECAP2	CT1AGE	CTLAG	NUMAPP	HISTABSC	IQ	HT	WT	READAGE	SES	ADMITCON	ENTAGE	HOUSE	TOTLV	DAYSLV	TOTABSC	SCHOFF	REL1LAG	RELLAST	RELCON	NUMREL	AFCARE	SCHTIME	SCHCUST	RECALL	RECON2	CTAPP2	OFFLAG2	CUST2	SER1ST	SERALL
36	1	2	2	2	1	2	2	2	2	1	14	3	0	2	81	65	137	71	4	1	174	1	4	32	0	0	12	12	1	1	2	12	2	2	2	1	23	2	5	5
37	2	4	2	2	2	4	2	2	3	4	12	10	1	1	101	66	147	114	4	2	200	3	2	11	0	0	6	6	1	1	1	6	2	2	2	3	15	1	3.2	99
38	1	11	1	2	2	2	1	1	2	2	12	14	0	1	123	61	104	138	5	1	164	3	7	68	4	0	19	19	1	1	2	19	2	2	2	3	14	1	1.6	6.4
39	3	1	2	2	2	2	2	2	3	2	13	5	0	2	78	70	143	73	2	1	176	1	4	38	0	0	11	11	1	1	1	11	2	2	1	97	97	7	97	97
40	4	2	2	1	1	3	1	1	4	4	9	11	0	2	101	61	104	102	7	1	184	1	0	0	3	1	2	2	2	1	8	2	1	2	2	98	98	8	98	98
41	1	2	1	2	1	1	2	2	4	4	10	3	0	1	68	60	92	42	6	1	181	1	0	0	3	1	1	1	3	1	8	1	2	2	1	98	98	8	98	98
42	1	4	2	1	2	3	2	2	3	3	10	2	0	2	138	64	110	149	3	1	169	2	6	49	1	0	17	17	1	1	2	17	2	2	2	2	8	1	2.2	5.2
43	1	2	2	2	2	1	2	2	2	2	14	1	0	1	92	66	102	125	7	1	170	3	6	40	3	0	16	16	1	1	2	16	2	2	2	1	20	1	1.4	1.4
44	3	4	2	2	2	1	2	2	2	2	14	4	0	2	137	66	113	145	7	1	176	2	6	43	0	0	16	16	1	1	1	16	2	2	2	2	3	1	2.6	6.4
45	4	3	1	2	2	3	1	1	1	0	14	888	0	1	89	68	133	127	7	9	170	2	2	13	3	0	9	9	3	1	8	9	2	2	2	98	98	8	98	98
46	3	3	2	1	2	2	2	2	3	3	12	4	0	2	123	65	122	148	6	1	172	2	8	56	1	1	18	30	1	2	2	18	2	1	2	1	12	2	3.4	3.4
47	3	2	1	2	2	2	2	2	3	3	13	2	0	2	97	60	96	112	6	1	172	2	8	54	0	0	18	18	1	1	2	18	2	2	1	97	97	7	97	97
48	1	7	2	2	2	4	2	2	3	3	14	5	0	1	74	60	84	90	3	1	180	1	4	33	0	0	11	11	1	1	1	11	2	2	2	2	14	2	3	7.8
49	1	5	2	1	1	4	2	2	5	7	10	2	0	1	91	64	115	85	4	1	181	1	2	21	0	0	6	6	1	1	1	6	2	2	2	3	19	2	2.2	99
50	1	4	1	2	2	4	1	1	6	7	13	1	1	1	90	67	120	90	6	1	178	1	1	19	5	3	8	8	2	1	8	8	1	2	2	98	98	8	98	98
51	3	4	2	1	1	3	2	2	2	2	12	10	0	2	102	61	84	117	6	1	166	3	5	39	0	0	15	15	1	1	2	15	2	2	2	1	10	1	3	3
52	1	4	2	2	2	3	2	2	2	2	13	10	0	2	94	60	87	106	5	1	176	2	5	30	0	0	12	12	1	1	2	12	2	2	2	1	7	1	3	3
53	1	5	1	2	1	3	1	1	3	3	14	3	0	1	100	67	128	92	3	1	176	3	6	30	5	0	12	17	1	3	1	13	2	1	2	1	8	1	2.2	2.2
54	1	3	1	1	2	2	2	2	2	2	14	10	0	2	94	64	114	141	3	1	183	2	5	41	0	0	15	15	1	1	2	15	2	2	1	97	97	7	97	97
55	1	7	2	1	2	4	2	2	2	3	12	15	0	1	79	65	106	87	4	1	162	1	4	34	0	0	13	13	1	1	1	13	2	2	2	1	13	1	4.2	4.2
56	1	5	2	2	2	1	2	2	5	3	10	1	0	1	98	63	97	96	3	1	175	2	10	61	2	0	12	24	1	2	1	17	2	1	2	1	15	2	5	5
57	1	14	2	1	2	2	2	2	2	1	13	4	0	1	94	62	91	88	5	1	169	1	8	52	2	0	15	27	1	3	1	23	2	1	1	97	97	7	97	97
58	2	1	2	2	2	3	1	1	4	2	13	3	0	1	126	68	144	145	3	1	179	3	0	0	3	2	4	4	2	1	8	4	1	2	2	98	98	8	98	98
59	1	4	2	2	2	2	2	2	3	3	11	3	0	1	85	66	130	107	3	1	178	1	3	25	0	0	9	9	1	1	1	9	2	2	2	4	6	2	2.8	11.2
60	1	11	1	1	1	3	2	2	3	3	11	11	0	2	63	61	94	115	3	1	177	1	7	43	7	2	18	18	2	1	8	18	1	2	2	98	98	8	98	98
61	1	6	2	1	1	1	1	1	3	4	9	29	2	1	95	66	129	102	6	2	191	3	0	0	2	0	2	2	3	1	8	2	2	2	2	98	98	8	98	98
62	2	3	2	2	2	1	2	2	3	3	13	1	0	1	131	61	87	138	3	1	167	3	7	47	3	0	16	16	1	1	2	16	2	2	2	1	7	2	4.8	4.8
63	2	8	2	1	2	4	2	2	1	1	13	888	0	2	92	63	103	140	4	1	180	1	4	34	1	0	12	12	1	1	2	12	2	2	2	1	17	1	3.8	3.8
64	1	4	2	2	2	4	2	2	5	5	12	5	0	2	115	68	136	141	4	1	182	2	4	33	1	0	13	13	1	1	2	13	2	2	2	4	6	2	2	6.6
65	1	1	2	2	2	1	2	2	3	3	14	3	0	2	100	61	115	120	3	1	160	1	17	67	0	0	22	22	1	1	1	22	2	2	1	97	97	7	97	97
66	1	10	2	1	2	2	2	1	3	3	10	5	0	2	100	62	118	98	3	1	159	1	10	57	5	2	24	24	2	1	8	24	1	2	1	98	98	8	98	98
67	3	1	2	2	2	4	2	2	3	2	11	8	0	2	109	67	115	143	7	9	176	3	5	48	0	0	13	13	1	1	1	13	2	2	1	97	97	7	97	97
68	1	5	2	1	2	4	2	2	2	1	14	8	0	2	83	64	106	57	3	9	176	1	4	34	0	0	12	12	1	1	1	12	2	2	1	97	97	7	97	97
69	2	0	2	8	2	1	2	8	2	2	10	34	0	2	90	63	99	99	4	1	164	3	9	78	2	0	17	17	1	1	1	17	2	2	2	1	22	1	3.4	3.4
70	1	2	2	1	2	4	2	2	8	4	13	3	0	1	105	65	168	142	3	1	180	3	4	34	0	0	12	12	1	1	2	12	2	2	2	1	11	1	3.4	3.4
71	1	1	2	2	2	2	1	2	5	4	9	3	1	1	88	63	114	84	5	1	190	3	0	0	3	0	1	1	3	1	8	1	2	2	2	98	98	8	98	98
72	3	6	2	1	2	2	1	2	6	6	10	5	0	2	96	58	97	109	7	1	171	1	7	50	4	0	18	18	1	1	2	18	2	2	2	2	10	2	2	4
73	1	1	2	2	2	3	2	2	2	3	13	10	0	2	111	67	112	142	3	1	172	2	3	26	0	0	12	12	1	1	2	12	2	2	1	97	97	7	97	97
74	1	5	2	1	1	2	2	2	4	3	11	3	0	2	84	66	153	116	4	1	175	1	4	33	0	0	13	13	1	1	1	13	2	2	1	97	97	7	97	97
75	1	4	2	1	2	1	2	2	3	3	13	4	0	1	117	67	122	131	4	1	174	3	5	40	0	0	15	15	1	1	1	15	2	2	1	97	97	7	97	97
76	1	1	1	2	2	2	2	2	4	3	11	4	0	1	124	65	122	144	4	1	178	3	4	26	1	0	10	10	1	1	1	10	2	2	2	2	10	2	3.2	6.8
77	1	4	2	1	2	4	2	2	4	4	9	6	1	2	122	60	106	121	3	1	170	2	5	34	0	0	13	13	1	1	2	13	2	2	2	4	3	2	1.4	7.2
78	1	4	2	1	2	4	2	2	4	4	10	2	1	2	92	66	110	108	3	1	172	1	6	50	3	1	12	12	1	1	1	12	2	2	2	1	14	2	2.8	2.8
79	3	1	2	1	2	4	2	2	4	4	10	4	0	1	112	59	101	109	4	1	181	2	3	26	0	0	8	8	1	1	2	8	2	2	2	2	8	2	3.6	3.6
