"","qb10_1","qb10_2","qb10_3","qb10_4","qb10_5","qb10_6","qb10_7","qb10_8","qb10_9","qb10_10","qb10_11","qb10_12","d10","d11","isocntry","d1","d25","d15a","uniqid","at_sexviol"
"5386",0,0,0,1,0,0,1,0,0,0,0,0,1,63,"FR",6,2,4,70001265,2
"5387",1,0,0,0,1,0,0,0,0,0,0,0,1,83,"FR",5,2,4,70001268,2
"5388",0,0,0,0,0,0,0,0,0,1,0,0,1,51,"FR",NA,2,17,70001269,0
"5389",0,0,0,0,0,0,0,0,0,1,0,0,1,29,"FR",5,2,17,70001270,0
"5390",0,0,0,0,0,0,0,0,0,1,0,0,2,30,"FR",NA,2,13,70001271,0
"5391",0,0,0,0,0,0,0,0,0,1,0,0,2,49,"FR",5,2,15,70001272,0
"5392",0,0,1,0,0,1,1,1,0,0,0,0,1,47,"FR",10,1,17,70001279,4
"5393",1,0,0,0,0,0,0,0,0,0,0,0,1,66,"FR",10,1,4,70001280,1
"5394",0,0,0,0,0,0,0,0,0,1,0,0,2,45,"FR",10,2,15,70001286,0
"5395",0,0,0,0,0,0,0,0,0,1,0,0,2,54,"FR",6,2,13,70001289,0
"5396",1,0,1,0,1,0,0,0,0,0,0,0,2,77,"FR",NA,2,4,70001298,3
"5397",0,0,0,0,0,0,0,0,0,1,0,0,2,35,"FR",7,2,15,70001304,0
"5398",0,0,1,1,0,0,0,1,0,0,0,0,2,36,"FR",6,2,12,70001307,3
"5399",0,0,0,0,0,0,0,0,0,1,0,0,2,54,"FR",2,1,13,70001309,0
"5400",1,1,0,1,0,1,0,0,0,0,0,0,1,19,"FR",6,2,3,70001313,4
"5401",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"FR",5,2,15,70001314,0
"5402",0,0,0,0,0,0,0,0,0,1,0,0,1,26,"FR",5,2,17,70001318,0
"5403",0,0,0,0,0,0,0,0,0,1,0,0,1,32,"FR",10,2,12,70001319,0
"5404",0,0,0,0,0,0,0,0,0,1,0,0,1,45,"FR",6,2,11,70001333,0
"5405",0,0,0,0,0,0,0,0,0,1,0,0,1,53,"FR",8,2,12,70001334,0
"5406",0,0,0,0,0,0,0,0,0,1,0,0,2,22,"FR",NA,2,2,70001336,0
"5407",0,0,0,0,0,0,0,0,0,0,0,1,2,78,"FR",NA,2,4,70001337,0
"5408",0,0,0,0,0,0,0,0,0,1,0,0,1,61,"FR",8,2,1,70001341,0
"5409",0,0,0,0,0,0,0,0,0,1,0,0,2,57,"FR",8,2,13,70001349,0
"5410",0,0,0,0,0,0,0,0,0,1,0,0,2,54,"FR",3,2,11,70001371,0
"5411",0,0,0,0,0,0,0,0,0,1,0,0,1,45,"FR",8,3,12,70001383,0
"5412",0,0,0,0,0,0,0,0,0,1,0,0,1,39,"FR",2,3,7,70001386,0
"5413",0,0,0,1,1,0,0,0,0,0,0,0,2,67,"FR",7,3,4,70001394,2
"5414",1,1,0,0,0,0,0,0,0,0,0,0,2,42,"FR",NA,2,1,70001396,2
"5415",0,0,0,0,0,0,0,0,0,1,0,0,1,20,"FR",6,2,2,70001397,0
"5416",0,0,0,0,0,0,0,0,0,1,0,0,1,51,"FR",6,2,17,70001400,0
"5417",0,0,0,0,0,0,0,0,0,0,0,1,1,77,"FR",6,2,4,70001404,0
"5418",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"FR",NA,3,15,70001407,0
"5419",0,0,0,0,0,0,0,0,0,1,0,0,1,45,"FR",NA,3,17,70001409,0
"5420",0,0,0,0,0,0,0,0,0,1,0,0,2,81,"FR",NA,3,4,70001410,0
"5421",0,0,0,0,0,0,0,0,0,1,0,0,2,36,"FR",3,3,13,70001411,0
"5422",0,0,0,0,0,0,0,0,0,1,0,0,2,32,"FR",5,2,12,70001415,0
"5423",1,0,0,0,0,0,1,0,0,0,0,0,2,42,"FR",4,1,3,70001416,2
"5424",0,0,0,0,0,0,0,0,0,1,0,0,1,51,"FR",10,1,15,70001418,0
"5425",0,0,0,0,0,0,0,0,0,0,0,1,2,44,"FR",5,2,12,70001420,0
"5426",0,0,0,0,0,0,0,0,1,0,0,0,1,45,"FR",NA,2,17,70001421,1
"5427",1,0,0,0,0,1,0,0,0,0,0,0,1,91,"FR",4,2,4,70001425,2
"5428",1,1,0,0,1,1,0,0,0,0,0,0,2,18,"FR",7,3,2,70001427,4
"5429",1,1,1,1,0,0,0,0,0,0,0,0,1,87,"FR",4,3,4,70001434,4
"5430",1,0,0,1,0,0,0,0,0,0,0,0,1,75,"FR",NA,3,4,70001445,2
"5431",0,0,0,0,0,0,0,0,0,1,0,0,1,28,"FR",5,2,15,70001454,0
"5432",0,1,0,0,0,1,0,0,0,0,0,0,1,70,"FR",3,3,4,70001456,2
"5433",0,1,0,1,0,0,0,0,0,0,0,0,1,80,"FR",NA,2,4,70001460,2
"5434",0,0,0,0,0,0,0,0,0,1,0,0,2,60,"FR",7,2,4,70001464,0
"5435",0,0,0,0,0,0,0,0,0,1,0,0,1,30,"FR",5,2,3,70001465,0
"5436",0,0,0,0,0,0,0,0,0,1,0,0,2,35,"FR",3,2,11,70001467,0
"5437",0,0,0,1,0,1,0,0,0,0,0,0,1,33,"FR",3,2,15,70001469,2
"5438",0,0,0,0,0,0,0,0,0,1,0,0,1,30,"FR",8,2,17,70001471,0
"5439",0,0,0,0,0,0,0,0,0,1,0,0,1,64,"FR",5,2,4,70001475,0
"5440",0,0,0,0,0,0,0,0,0,1,0,0,2,17,"FR",3,2,2,70001480,0
"5441",0,0,0,0,0,0,0,0,0,1,0,0,2,43,"FR",10,2,11,70001481,0
"5442",0,0,0,0,0,0,0,0,0,1,0,0,1,38,"FR",3,2,12,70001482,0
"5443",0,0,0,0,0,0,0,0,0,1,0,0,2,56,"FR",2,2,15,70001486,0
"5444",1,0,1,1,1,1,1,0,1,0,0,0,2,54,"FR",1,2,4,70001487,7
"5445",0,0,0,0,0,0,0,0,0,1,0,0,1,41,"FR",NA,2,12,70001488,0
"5446",0,1,0,1,0,0,0,0,0,0,0,0,1,57,"FR",10,2,17,70001491,2
"5447",0,0,0,0,0,0,0,0,0,1,0,0,1,18,"FR",5,1,3,70001496,0
"5448",0,0,0,0,0,0,0,0,0,1,0,0,2,62,"FR",NA,1,4,70001498,0
"5449",1,1,1,1,0,1,0,1,1,0,0,0,2,59,"FR",5,2,13,70001499,7
"5450",0,0,0,1,0,0,1,1,1,0,0,0,1,26,"FR",5,2,17,70001500,4
"5451",0,0,0,0,0,0,0,0,0,1,0,0,2,18,"FR",5,2,2,70001508,0
"5452",1,1,1,1,1,1,1,1,1,0,0,0,1,36,"FR",8,2,18,70001517,9
"5453",0,0,0,0,0,0,0,0,0,1,0,0,2,28,"FR",3,1,12,70001521,0
"5454",0,0,0,0,0,0,0,0,0,1,0,0,1,29,"FR",1,2,8,70001525,0
"5455",0,0,0,0,0,0,1,0,0,0,0,0,1,62,"FR",5,2,4,70001526,1
"5456",0,0,0,0,0,0,0,0,0,1,0,0,1,75,"FR",3,2,4,70001528,0
"5457",0,0,0,0,0,0,0,0,0,1,0,0,1,26,"FR",5,2,15,70001531,0
"5458",0,0,0,0,0,0,0,0,0,1,0,0,1,45,"FR",5,2,17,70001532,0
"5459",0,0,0,0,0,0,0,0,0,1,0,0,2,42,"FR",7,2,7,70001536,0
"5460",1,1,1,1,1,1,1,1,1,0,0,0,1,60,"FR",5,2,11,70001538,9
"5461",1,0,0,0,0,0,0,0,0,0,0,0,1,35,"FR",6,2,15,70001542,1
"5462",0,0,0,0,0,0,0,0,0,1,0,0,2,57,"FR",5,2,4,70001543,0
"5463",0,0,0,0,0,0,0,0,0,1,0,0,1,63,"FR",7,3,4,70001544,0
"5464",0,0,0,0,0,0,0,0,0,1,0,0,2,36,"FR",3,2,13,70001546,0
"5465",0,0,0,0,0,0,0,0,0,1,0,0,1,26,"FR",1,3,2,70001548,0
"5466",0,0,0,0,0,0,0,0,0,1,0,0,2,27,"FR",4,2,3,70001549,0
"5467",0,0,0,0,0,0,0,0,0,1,0,0,2,66,"FR",NA,2,4,70001554,0
"5468",0,0,0,0,0,0,0,0,0,1,0,0,1,57,"FR",4,1,14,70001556,0
"5469",0,1,0,1,1,0,1,1,0,0,0,0,2,66,"FR",3,1,4,70001558,5
"5470",0,0,0,0,0,0,0,0,0,1,0,0,1,62,"FR",NA,1,8,70001566,0
"5471",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"FR",5,2,3,70001567,0
"5472",0,0,0,0,0,0,0,0,0,1,0,0,1,32,"FR",10,1,15,70001572,0
"5473",0,0,0,0,0,0,0,0,0,1,0,0,2,77,"FR",3,1,4,70001576,0
"5474",0,0,0,0,0,0,0,0,0,1,0,0,2,28,"FR",9,1,13,70001586,0
"5475",0,0,0,0,0,0,0,0,0,1,0,0,2,42,"FR",NA,1,5,70001590,0
"5476",0,0,0,0,0,0,0,0,0,1,0,0,2,25,"FR",NA,1,17,70001592,0
"5477",1,1,0,1,1,1,0,1,0,0,0,0,1,51,"FR",NA,2,3,70001613,6
"5478",1,1,0,1,1,1,1,1,1,0,0,0,2,48,"FR",8,2,15,70001619,8
"5479",0,0,0,0,0,0,0,0,0,1,0,0,2,23,"FR",8,2,3,70001630,0
"5480",1,1,0,1,0,1,1,1,0,0,0,0,1,59,"FR",10,2,4,70001632,6
"5481",0,0,0,0,0,0,0,0,0,1,0,0,2,33,"FR",7,2,15,70001637,0
"5482",0,0,0,0,0,0,0,0,0,1,0,0,2,46,"FR",NA,2,15,70001656,0
"5483",0,1,0,1,0,0,1,1,0,0,0,0,1,19,"FR",NA,2,3,70001659,4
"5484",0,0,0,0,0,0,0,0,0,1,0,0,2,27,"FR",5,2,15,70001665,0
"5485",0,0,0,0,0,0,0,0,0,1,0,0,2,59,"FR",4,2,13,70001672,0
"5486",1,1,0,0,1,0,1,0,0,0,0,0,2,71,"FR",5,2,4,70001677,4
"5487",1,1,0,1,0,1,0,0,0,0,0,0,2,74,"FR",5,2,4,70001678,4
"5488",0,0,0,0,0,0,0,0,0,1,0,0,2,65,"FR",5,3,4,70001680,0
"5489",0,0,0,0,0,0,0,0,0,1,0,0,2,55,"FR",3,3,15,70001683,0
