"","uniqid","at_sexviol","gender","age","politics","urban","occupation","region"
"6727",80002175,0,1,40,NA,3,12,"Western"
"6728",80002179,0,2,20,5,2,15,"Western"
"6729",80002180,1,2,55,5,2,13,"Western"
"6730",80002184,1,1,82,5,2,4,"Western"
"6731",80002185,NA,1,22,NA,2,13,"Western"
"6732",80002188,0,2,55,5,2,1,"Western"
"6733",80002191,2,1,70,5,2,4,"Western"
"6734",80002193,2,2,64,5,2,4,"Western"
"6735",80002194,NA,1,65,5,2,5,"Western"
"6736",80002200,0,2,50,NA,2,12,"Western"
"6737",80002203,0,2,51,NA,2,13,"Western"
"6738",80002204,0,2,49,NA,2,12,"Western"
"6739",80002209,0,2,61,NA,2,4,"Western"
"6740",80002210,0,1,59,NA,2,12,"Western"
"6741",80002217,1,2,39,5,2,11,"Western"
"6742",80002219,1,2,37,6,2,3,"Western"
"6743",80002223,0,2,42,7,2,11,"Western"
"6744",80002228,4,1,45,7,2,10,"Western"
"6745",80002237,0,1,24,5,1,18,"Western"
"6746",80002240,0,1,62,5,1,14,"Western"
"6747",80002242,0,1,28,5,2,14,"Western"
"6748",80002245,0,2,63,5,2,4,"Western"
"6749",80002247,0,1,33,5,1,17,"Western"
"6750",80002258,0,2,74,5,1,4,"Western"
"6751",80002268,0,1,79,6,1,4,"Western"
"6752",80002269,0,2,66,8,1,4,"Western"
"6753",80002270,2,1,17,NA,1,2,"Western"
"6754",80002276,0,2,76,9,1,4,"Western"
"6755",80002277,0,1,60,5,1,7,"Western"
"6756",80002278,0,2,62,7,1,1,"Western"
"6757",80002279,0,2,66,3,1,1,"Western"
"6758",80002282,0,1,45,5,1,12,"Western"
"6759",80002284,0,1,46,5,1,17,"Western"
"6760",80002286,0,1,54,8,1,4,"Western"
"6761",80002287,0,1,41,5,1,14,"Western"
"6762",80002288,0,2,58,6,1,13,"Western"
"6763",80002292,0,2,75,8,2,4,"Western"
"6764",80002297,0,1,93,10,2,4,"Western"
"6765",80002299,0,1,19,5,2,2,"Western"
"6766",80002302,0,2,38,NA,2,17,"Western"
"6767",80002306,0,2,19,NA,2,2,"Western"
"6768",80002309,0,1,52,10,2,3,"Western"
"6769",80002313,0,1,44,NA,2,4,"Western"
"6770",80002317,0,1,32,5,2,17,"Western"
"6771",80002321,0,2,18,NA,2,2,"Western"
"6772",80002327,0,1,20,8,2,2,"Western"
"6773",80002329,0,2,36,NA,2,12,"Western"
"6774",80002332,0,1,49,8,2,15,"Western"
"6775",80002333,0,1,19,6,1,2,"Western"
"6776",80002340,0,1,23,5,1,3,"Western"
"6777",80002347,0,2,58,NA,1,1,"Western"
"6778",80002349,0,2,45,6,1,1,"Western"
"6779",80002350,0,2,31,4,3,15,"Western"
"6780",80002351,0,1,38,5,3,12,"Western"
"6781",80002353,0,1,23,5,3,14,"Western"
"6782",80002359,0,2,27,5,3,2,"Western"
"6783",80002363,0,2,34,7,3,1,"Western"
"6784",80002367,0,1,35,NA,3,14,"Western"
"6785",80002370,0,2,52,NA,3,4,"Western"
"6786",80002371,0,1,58,3,3,11,"Western"
"6787",80002373,0,2,32,5,3,1,"Western"
"6788",80002376,0,2,31,NA,3,1,"Western"
"6789",80002378,0,2,59,5,1,15,"Western"
"6790",80002379,0,2,34,2,1,1,"Western"
"6791",80002381,0,1,52,5,1,3,"Western"
"6792",80002382,0,2,32,5,1,1,"Western"
"6793",80002384,0,1,40,5,1,15,"Western"
"6794",80002387,3,2,26,5,1,1,"Western"
"6795",80002388,3,2,63,5,1,1,"Western"
"6796",80002389,3,2,60,5,1,11,"Western"
"6797",80002390,3,2,55,6,1,4,"Western"
"6798",80002391,3,2,55,5,1,10,"Western"
"6799",80002392,3,1,87,5,1,4,"Western"
"6800",80002393,0,1,30,5,3,15,"Western"
"6801",80002394,0,1,25,4,3,15,"Western"
"6802",80002397,0,2,19,NA,1,8,"Western"
"6803",80002398,9,2,50,5,1,1,"Western"
"6804",80002399,0,1,43,1,1,2,"Western"
"6805",80002400,0,1,38,4,1,2,"Western"
"6806",80002402,0,2,35,7,1,13,"Western"
"6807",80002403,0,2,50,7,1,1,"Western"
"6808",80002404,0,1,60,2,2,7,"Western"
"6809",80002405,0,2,90,3,3,4,"Western"
"6810",80002406,0,2,53,5,3,8,"Western"
"6811",80002407,0,2,47,6,3,13,"Western"
"6812",80002436,0,2,60,5,3,10,"Western"
"6813",80002437,0,1,27,4,3,15,"Western"
"6814",80002448,0,2,44,5,3,13,"Western"
"6815",80002449,0,2,34,NA,3,1,"Western"
"6816",80002450,0,1,70,7,3,4,"Western"
"6817",80002451,0,2,22,NA,3,2,"Western"
"6818",80002471,0,2,30,7,3,17,"Western"
"6819",80002472,0,1,39,1,3,8,"Western"
"6820",80002476,0,1,53,NA,3,13,"Western"
"6821",80002485,NA,1,34,NA,3,17,"Western"
"6822",80002486,0,1,68,5,3,4,"Western"
"6823",80002488,0,2,75,5,3,1,"Western"
"6824",80002507,2,1,38,5,3,13,"Western"
"6825",80002512,0,2,65,6,3,4,"Western"
"6826",80002533,0,1,64,5,3,18,"Western"
"6827",80002537,0,1,67,5,2,4,"Western"
"6828",80002540,0,1,75,5,2,4,"Western"
"6829",80002541,1,1,79,6,2,4,"Western"
"6830",80002542,0,2,50,5,2,12,"Western"
"6831",80002544,0,2,17,5,2,2,"Western"
"6832",80002545,0,2,68,5,2,4,"Western"
"6833",80002547,0,1,46,5,2,17,"Western"
"6834",80002551,0,1,56,4,2,17,"Western"
"6835",80002552,0,2,45,5,2,17,"Western"
"6836",80002554,0,2,46,6,2,1,"Western"
"6837",80002555,0,1,47,5,2,14,"Western"
"6838",80002559,0,2,58,6,2,13,"Western"
"6839",80002560,2,2,46,NA,3,1,"Western"
"6840",80002561,1,1,59,NA,3,17,"Western"
"6841",80002562,0,2,42,NA,3,13,"Western"
"6842",80002563,0,1,51,NA,3,8,"Western"
"6843",80002567,0,1,47,3,3,12,"Western"
"6844",80002568,0,2,68,10,3,15,"Western"
"6845",80002569,NA,2,15,NA,3,2,"Western"
"6846",80002570,0,2,30,NA,3,13,"Western"
"6847",80002571,0,1,54,NA,3,17,"Western"
"6848",80002574,3,1,46,5,2,17,"Western"
"6849",80002575,3,1,62,5,1,1,"Western"
"6850",80002576,4,2,60,2,2,1,"Western"
"6851",80002577,3,2,61,5,2,1,"Western"
"6852",80002580,NA,1,84,10,3,4,"Western"
"6853",80002586,0,1,28,3,3,2,"Western"
"6854",80002587,0,2,73,5,3,4,"Western"
"6855",80002589,3,2,82,8,2,4,"Western"
"6856",80002598,0,2,61,8,2,1,"Western"
"6857",80002599,0,2,45,9,2,1,"Western"
"6858",80002600,0,2,31,5,2,2,"Western"
"6859",80002601,2,2,41,5,2,1,"Western"
"6860",80002603,0,2,17,NA,1,18,"Western"
"6861",80002606,0,1,46,5,2,10,"Western"
"6862",80002609,0,2,49,5,2,15,"Western"
"6863",80002610,0,1,34,6,2,10,"Western"
"6864",80002613,0,2,99,5,2,1,"Western"
"6865",80002614,0,1,19,5,2,2,"Western"
"6866",80002615,0,2,43,6,2,1,"Western"
"6867",80002616,0,2,35,6,2,11,"Western"
"6868",80002617,0,1,23,5,2,2,"Western"
"6869",80002618,1,1,17,5,2,2,"Western"
"6870",80002619,0,2,44,7,2,10,"Western"
"6871",80002620,0,1,48,5,2,10,"Western"
"6872",80002621,0,1,28,5,2,11,"Western"
"6873",80002623,0,1,15,3,2,2,"Western"
"6874",80002624,0,2,65,6,2,4,"Western"
"6875",80002625,1,2,36,5,2,10,"Western"
"6876",80002626,0,2,20,5,2,2,"Western"
"6877",80002628,4,2,16,5,2,2,"Western"
"6878",80002629,3,1,16,9,2,2,"Western"
"6879",80002630,0,1,36,8,2,7,"Western"
"6880",80002631,0,2,50,NA,2,3,"Western"
"6881",80002636,0,2,61,8,2,1,"Western"
"6882",80002637,0,2,77,10,2,4,"Western"
"6883",80002642,0,2,84,8,2,17,"Western"
"6884",80002643,0,2,70,8,2,1,"Western"
"6885",80002647,0,2,48,NA,2,12,"Western"
"6886",80002651,0,2,47,NA,2,1,"Western"
"6887",80002655,0,2,38,NA,2,12,"Western"
"6888",80002658,0,2,32,NA,2,12,"Western"
"6889",80002661,0,1,35,3,3,5,"Western"
"6890",80002663,0,2,40,5,3,3,"Western"
"6891",80002665,0,2,66,1,3,4,"Western"
